id,facility_id,customer_name,expected_date,actual_date,total_weight
1362636,78,UNILEVER ASCC AG,3/6/16 8:00,3/6/16 7:50,35523
1362581,78,UNILEVER ASCC AG,3/6/16 9:00,3/6/16 8:40,38712
1362685,78,UNILEVER ASCC AG,3/6/16 9:00,3/6/16 8:50,37919
1362634,78,UNILEVER ASCC AG,3/6/16 9:00,3/6/16 8:55,26928
1362562,78,UNILEVER ASCC AG,3/6/16 8:00,3/6/16 9:30,37009
1362532,78,UNILEVER ASCC AG,3/6/16 8:00,3/6/16 10:00,36816
1362642,78,UNILEVER ASCC AG,3/6/16 21:00,3/6/16 10:00,36280
1362649,78,UNILEVER ASCC AG,3/6/16 7:00,3/6/16 11:00,37009
1362554,78,UNILEVER ASCC AG,3/6/16 9:00,3/6/16 11:25,36295
1362591,78,UNILEVER ASCC AG,3/7/16 9:00,3/7/16 7:00,38693
1362545,78,UNILEVER ASCC AG,3/7/16 10:00,3/7/16 7:05,35757
1362580,78,UNILEVER ASCC AG,3/7/16 16:00,3/7/16 7:05,39252
1362584,78,UNILEVER ASCC AG,3/7/16 13:00,3/7/16 7:05,37946
1362537,78,UNILEVER ASCC AG,3/7/16 16:00,3/7/16 7:20,39470
1362582,78,UNILEVER ASCC AG,3/7/16 10:00,3/7/16 7:20,24713
1362650,78,UNILEVER ASCC AG,3/7/16 16:00,3/7/16 7:25,38712
1363561,78,PURFOODS,3/7/16 8:00,3/7/16 7:25,450
1362575,78,UNILEVER ASCC AG,3/7/16 12:00,3/7/16 7:30,37950
1362583,78,UNILEVER ASCC AG,3/7/16 16:00,3/7/16 7:43,27659
1362733,78,UNILEVER ASCC AG,3/7/16 11:00,3/7/16 8:30,38840
1362571,78,UNILEVER ASCC AG,3/7/16 13:00,3/7/16 8:35,36089
1362617,78,UNILEVER ASCC AG,3/7/16 10:00,3/7/16 8:35,38959
1362609,78,UNILEVER ASCC AG,3/7/16 11:00,3/7/16 8:40,37965
1362551,78,UNILEVER ASCC AG,3/7/16 12:00,3/7/16 8:57,40125
1362560,78,UNILEVER ASCC AG,3/7/16 12:00,3/7/16 9:00,37009
1362985,78,"LAND-O-SUN DAIRIES, LLC",3/7/16 10:00,3/7/16 9:31,28512
1362640,78,UNILEVER ASCC AG,3/7/16 13:00,3/7/16 10:10,38534
1362578,78,UNILEVER ASCC AG,3/7/16 14:00,3/7/16 11:11,38830
1362550,78,UNILEVER ASCC AG,3/7/16 14:00,3/7/16 11:15,25768
1362669,78,UNILEVER ASCC AG,3/7/16 12:00,3/7/16 11:15,26928
1362561,78,UNILEVER ASCC AG,3/7/16 15:00,3/7/16 11:45,26928
1362596,78,UNILEVER ASCC AG,3/7/16 13:00,3/7/16 11:52,38327
1362577,78,UNILEVER ASCC AG,3/7/16 13:00,3/7/16 12:45,37461
1362980,78,"LAND-O-SUN DAIRIES, LLC",3/7/16 15:00,3/7/16 12:50,4752
1362600,78,UNILEVER ASCC AG,3/7/16 14:00,3/7/16 12:55,38665
1363135,78,UNILEVER ASCC AG,3/7/16 19:30,3/7/16 13:41,120230
1362559,78,UNILEVER ASCC AG,3/7/16 15:00,3/7/16 14:30,37009
1362526,78,UNILEVER ASCC AG,3/7/16 15:00,3/7/16 14:46,36219
1362725,78,UNILEVER ASCC AG,3/7/16 15:00,3/7/16 15:25,19863
1362695,78,UNILEVER ASCC AG,3/8/16 11:00,3/8/16 7:00,36931
1362625,78,UNILEVER ASCC AG,3/8/16 10:00,3/8/16 7:10,29990
1362781,78,UNILEVER ASCC AG,3/8/16 8:00,3/8/16 7:10,38073
1362588,78,UNILEVER ASCC AG,3/8/16 9:00,3/8/16 7:50,36250
1362661,78,UNILEVER ASCC AG,3/8/16 16:00,3/8/16 8:00,22593
1362758,78,"SABRA DIPPING COMPANY, LLC",3/8/16 13:00,3/8/16 8:00,14040
1362601,78,UNILEVER ASCC AG,3/8/16 8:00,3/8/16 8:15,37009
1362686,78,UNILEVER ASCC AG,3/8/16 12:00,3/8/16 8:30,37430
1362594,78,UNILEVER ASCC AG,3/8/16 10:00,3/8/16 9:35,36652
1362677,78,UNILEVER ASCC AG,3/8/16 11:00,3/8/16 9:35,36230
1362603,78,UNILEVER ASCC AG,3/8/16 10:00,3/8/16 9:45,32873
1362730,78,UNILEVER ASCC AG,3/8/16 11:00,3/8/16 10:15,36439
1362671,78,UNILEVER ASCC AG,3/8/16 15:00,3/8/16 10:30,39427
1362573,78,UNILEVER ASCC AG,3/8/16 11:00,3/8/16 10:55,41130
1363168,78,COPACK MATERIAL,3/8/16 14:00,3/8/16 11:30,378
1362614,78,UNILEVER ASCC AG,3/8/16 12:00,3/8/16 11:55,36842
1362749,78,UNILEVER ASCC AG,3/8/16 15:00,3/8/16 14:43,38426
1362570,78,UNILEVER ASCC AG,3/8/16 15:00,3/8/16 15:04,38404
1362621,78,UNILEVER ASCC AG,3/8/16 16:00,3/8/16 15:45,31120
1362704,78,UNILEVER ASCC AG,3/9/16 15:00,3/9/16 6:50,35942
1362574,78,UNILEVER ASCC AG,3/9/16 10:00,3/9/16 7:15,35146
1362731,78,COPACK MATERIAL,3/9/16 8:00,3/9/16 7:50,2
1362767,78,UNILEVER ASCC AG,3/9/16 10:00,3/9/16 8:30,38112
1362657,78,UNILEVER ASCC AG,3/7/16 11:00,3/9/16 9:00,38743
1362618,78,UNILEVER ASCC AG,3/9/16 11:00,3/9/16 9:17,35849
1362701,78,"LAND-O-SUN DAIRIES, LLC",3/9/16 10:00,3/9/16 9:35,43200
1362579,78,UNILEVER ASCC AG,3/9/16 10:00,3/9/16 9:50,37745
1362585,78,UNILEVER ASCC AG,3/9/16 14:30,3/9/16 10:30,1783
1362763,78,UNILEVER ASCC AG,3/9/16 12:00,3/9/16 10:30,37036
1362693,78,UNILEVER ASCC AG,3/9/16 11:00,3/9/16 12:53,39427
1362688,78,"LAND-O-SUN DAIRIES, LLC",3/9/16 16:30,3/9/16 14:00,4752
1362597,78,UNILEVER ASCC AG,3/9/16 14:00,3/9/16 14:20,39427
1362590,78,UNILEVER ASCC AG,3/10/16 15:00,3/10/16 7:00,37951
1362608,78,UNILEVER ASCC AG,3/10/16 11:00,3/10/16 7:00,36994
1363148,78,MATOSANTOS COMMERCIAL CORP,3/10/16 8:00,3/10/16 7:00,44000
1362757,78,UNILEVER ASCC AG,3/10/16 10:00,3/10/16 7:10,37107
1362626,78,UNILEVER ASCC AG,3/10/16 8:00,3/10/16 7:25,35579
1362762,78,UNILEVER ASCC AG,3/10/16 12:00,3/10/16 8:00,35786
1362705,78,"LAND-O-SUN DAIRIES, LLC",3/10/16 10:00,3/10/16 8:15,2290
1362769,78,UNILEVER ASCC AG,3/10/16 10:00,3/10/16 8:30,33804
1362593,78,UNILEVER ASCC AG,3/10/16 12:00,3/10/16 8:40,39096
1362612,78,UNILEVER ASCC AG,3/10/16 10:00,3/10/16 9:15,38756
1363010,78,"SABRA DIPPING COMPANY, LLC",3/10/16 9:00,3/10/16 9:15,20400
1362592,78,UNILEVER ASCC AG,3/10/16 11:00,3/10/16 9:25,36717
1362676,78,UNILEVER ASCC AG,3/10/16 9:00,3/10/16 9:40,39416
1362623,78,UNILEVER ASCC AG,3/10/16 11:00,3/10/16 10:30,36994
1362774,78,UNILEVER ASCC AG,3/10/16 13:00,3/10/16 10:40,38868
1362616,78,UNILEVER ASCC AG,3/10/16 12:00,3/10/16 11:20,38102
1362775,78,UNILEVER ASCC AG,3/10/16 14:00,3/10/16 12:55,21665
1362692,78,"LAND-O-SUN DAIRIES, LLC",3/10/16 15:00,3/10/16 13:40,115200
1362754,78,UNILEVER ASCC AG,3/10/16 15:00,3/10/16 15:05,39218
1362599,78,UNILEVER ASCC AG,3/11/16 10:00,3/11/16 7:00,39174
1362628,78,UNILEVER ASCC AG,3/11/16 10:00,3/11/16 7:00,38426
1362792,78,UNILEVER ASCC AG,3/11/16 11:00,3/11/16 7:00,36213
1363505,78,UNILEVER ASCC AG,3/11/16 14:00,3/11/16 7:30,448
1362607,78,UNILEVER ASCC AG,3/11/16 15:00,3/11/16 7:40,36614
1362638,78,UNILEVER ASCC AG,3/11/16 12:00,3/11/16 8:50,37241
1362595,78,UNILEVER ASCC AG,3/11/16 13:00,3/11/16 9:30,27541
1363100,78,COPACK MATERIAL,3/11/16 10:00,3/11/16 9:50,1
1362615,78,UNILEVER ASCC AG,3/11/16 14:00,3/11/16 10:30,31771
1363053,78,UV INTERNATIONAL,3/11/16 12:00,3/11/16 11:50,80
1362718,78,"LAND-O-SUN DAIRIES, LLC",3/11/16 15:00,3/11/16 12:00,7920
1363039,78,"LAND-O-SUN DAIRIES, LLC",3/11/16 10:00,3/11/16 12:00,19968
1362794,78,UNILEVER ASCC AG,3/11/16 13:00,3/11/16 12:30,38925
1362635,78,UNILEVER ASCC AG,3/11/16 13:00,3/11/16 13:00,39554
1362972,78,"LAND-O-SUN DAIRIES, LLC",3/11/16 9:00,3/11/16 13:30,5731
1362605,78,UNILEVER ASCC AG,3/11/16 15:00,3/11/16 14:40,36893
1362602,78,UNILEVER ASCC AG,3/13/16 7:00,3/13/16 6:30,37619
1362787,78,UNILEVER ASCC AG,3/13/16 7:00,3/13/16 6:37,36614
1362646,78,UNILEVER ASCC AG,3/13/16 7:00,3/13/16 6:40,39175
1362624,78,UNILEVER ASCC AG,3/13/16 7:00,3/13/16 6:45,39233
1362851,78,UNILEVER ASCC AG,3/13/16 8:00,3/13/16 6:45,39433
1362613,78,UNILEVER ASCC AG,3/13/16 8:00,3/13/16 6:46,39175
