"id","facility_id","customer_name","expected_date","actual_date","total_weight"
2718585,78,"AVOCA","2016-03-03 07:00:00","2016-03-03 02:53:23",19250
2718620,78,"3 FELLERS BAKERY","2016-03-10 08:00:00","2016-03-10 07:43:09",10
2718686,78,"UNILEVER ASCC AG","2016-03-04 07:00:00","2016-03-04 09:23:56",37127
2718697,78,"UNILEVER ASCC AG","2016-03-07 11:00:00","2016-03-07 09:41:16",37593
2718714,78,"UNILEVER ASCC AG","2016-03-07 09:00:00","2016-03-07 13:06:59",35948
2718715,78,"UNILEVER ASCC AG","2016-03-07 09:00:00","2016-03-07 10:38:47",38265
2718716,78,"UNILEVER ASCC AG","2016-03-07 07:00:00","2016-03-07 09:13:46",37146
2718717,78,"UNILEVER ASCC AG","2016-03-07 07:00:00","2016-03-07 08:36:56",35473
2718718,78,"UNILEVER ASCC AG","2016-03-06 09:05:00","2016-03-06 13:09:03",6955
2718719,78,"3 FELLERS BAKERY","2016-03-04 10:00:00","2016-03-04 10:53:43",10
2718720,78,"UNILEVER ASCC AG","2016-03-06 09:06:00","2016-03-06 13:25:23",5897
2718721,78,"UNILEVER ASCC AG","2016-03-06 09:01:00","2016-03-06 11:24:32",9002
2718722,78,"UNILEVER ASCC AG","2016-03-06 09:04:00","2016-03-06 12:54:23",3628
2718725,78,"UNILEVER ASCC AG","2016-03-07 09:00:00","2016-03-07 11:54:43",20995
2718729,78,"UNILEVER ASCC AG","2016-03-08 10:00:00","2016-03-08 11:51:01",28731
2718730,78,"UNILEVER ASCC AG","2016-03-06 09:02:00","2016-03-06 12:06:34",6185
2718731,78,"UNILEVER ASCC AG","2016-03-07 08:00:00","2016-03-07 10:27:48",8584
2718733,78,"UNILEVER ASCC AG","2016-03-06 08:00:00","2016-03-06 10:50:37",37846
2718751,78,"UNILEVER ASCC AG","2016-03-07 09:00:00","2016-03-07 16:27:57",4650
2718804,78,"UNILEVER ASCC AG","2016-03-07 07:00:00","2016-03-07 07:59:14",34760
2718810,78,"LAND-O-SUN DAIRIES, LLC","2016-03-07 07:30:00","2016-03-07 08:09:19",25052
2718818,78,"UNILEVER ASCC AG","2016-03-07 08:00:00","2016-03-07 15:13:22",36907
2718877,78,"AVOCA","2016-03-04 07:00:00","2016-03-04 05:44:43",19250
2718881,78,"SABRA DIPPING COMPANY, LLC","2016-03-04 14:00:00","2016-03-04 13:58:31",5400
2718891,78,"UNILEVER ASCC AG","2016-03-13 09:00:00","2016-03-13 08:23:26",5487
2718943,78,"UNILEVER ASCC AG","2016-03-07 07:00:00","2016-03-07 07:58:26",29172
2718951,78,"UNILEVER ASCC AG","2016-03-07 08:00:00","2016-03-07 08:51:00",21856
2718982,78,"UNILEVER ASCC AG","2016-03-06 09:03:00","2016-03-06 12:29:21",4364
2719009,78,"UNILEVER ASCC AG","2016-03-07 08:00:00","2016-03-07 09:09:21",38045
2719061,78,"UNILEVER ASCC AG","2016-03-08 12:02:00","2016-03-08 15:06:39",11413
2719063,78,"UNILEVER ASCC AG","2016-03-08 12:01:00","2016-03-08 13:59:01",24390
2719070,78,"UNILEVER ASCC AG","2016-03-08 14:00:00","2016-03-08 16:23:39",35306
2719071,78,"UNILEVER ASCC AG","2016-03-08 07:00:00","2016-03-08 08:17:51",34983
2719074,78,"UNILEVER ASCC AG","2016-03-08 08:00:00","2016-03-08 08:56:51",34721
2719078,78,"UNILEVER ASCC AG","2016-03-08 07:00:00","2016-03-08 08:17:04",37759
2719079,78,"UNILEVER ASCC AG","2016-03-09 13:00:00","2016-03-09 15:36:14",29540
