Time,Total Facility Power,Main Switchgear 1,Main Switchgear 2
,,79.43314333333547,
,,78.05715222222352,
,,74.90264055555599,
,,74.8709849999941,
,,72.86056861111138,
,,68.44323833333328,
,,79.01379333333898,
,,77.71848524590719,
,,80.87951277777756,
,,71.9485602777786,
,,62.88407694444322,
,,65.03807638888975,
03/02/2016 23:00:00,892.8884077777911,79.29095999999845,
03/03/2016 00:00:00,890.9287502777734,78.09738638889394,
03/03/2016 01:00:00,852.7126997222222,80.55320027777634,
03/03/2016 02:00:00,826.8259413888736,77.75131527777557,
03/03/2016 03:00:00,832.4585938889068,79.98047583333391,
03/03/2016 04:00:00,807.3745197222161,81.13162833333627,
03/03/2016 05:00:00,855.183080277784,83.72158249999484,
03/03/2016 06:00:00,856.4994108333194,81.38713611111598,
03/03/2016 07:00:00,847.401913055568,79.26053138888528,
03/03/2016 08:00:00,819.4564572222152,79.02589361111313,
03/03/2016 09:00:00,822.3573975000036,72.63073138889013,
03/03/2016 10:00:00,893.045535277779,71.15848861110862,
03/03/2016 11:00:00,918.458331388887,67.18492527777562,813.4552644444411
03/03/2016 12:00:00,921.9122580555559,78.87338194444601,812.8715980555571
03/03/2016 13:00:00,901.1722266666766,87.68380305555911,777.8100591666662
03/03/2016 14:00:00,886.8752624999906,89.47000944444153,751.9549563888868
03/03/2016 15:00:00,897.5507922222314,84.59496027777641,759.5980252777808
03/03/2016 16:00:00,904.3748174999928,76.73533277778188,738.93128138889
03/03/2016 17:00:00,903.2276172222191,80.80561666666472,777.4132233333294
03/03/2016 18:00:00,907.3104949999979,84.80291138889152,775.6198980555564
03/03/2016 19:00:00,884.1358533333259,99.3781486111111,775.4533527777821
03/03/2016 20:00:00,883.3203886111296,96.62800694444013,756.572380277772
03/03/2016 21:00:00,878.7189708333317,84.39721888888744,757.3193211111138
03/03/2016 22:00:00,864.4035461111052,99.58467250000103,813.7545752777805
03/03/2016 23:00:00,879.402773611102,95.95904777778196,840.3609450000004
03/04/2016 00:00:00,884.2010402777814,108.64688388888317,841.3590577777723
03/04/2016 01:00:00,920.670056388888,99.4794588888908,823.4209113888937
03/04/2016 02:00:00,874.5195516666718,116.25198638888833,806.894786666664
03/04/2016 03:00:00,825.0901311111083,115.92323333333479,816.4191638888879
03/04/2016 04:00:00,823.401595833333,108.13433555555821,820.6532350000052
03/04/2016 05:00:00,839.2858994444541,109.67722749999666,821.8404811111104
03/04/2016 06:00:00,919.1307869444427,117.94004000000132,828.0499636111053
03/04/2016 07:00:00,916.430710277782,112.6045766666648,805.1099597222201
03/04/2016 08:00:00,834.2988908333355,117.98717194444907,810.6896572222322
03/04/2016 09:00:00,903.4189649999898,120.65445277777326,807.5604822222231
03/04/2016 10:00:00,960.2716472222237,115.9787330555555,797.2186208333296
03/04/2016 11:00:00,987.3405508333235,117.50637972222466,800.529391666656
03/04/2016 12:00:00,982.5620452777948,110.25173555555375,796.5172372222296
03/04/2016 13:00:00,1005.5381841666531,105.9146550000005,831.2000469444465
03/04/2016 14:00:00,947.9622041666589,116.15440916666557,789.9245913888881
03/04/2016 15:00:00,962.9421950000105,101.25484027777566,748.3547983333265
03/04/2016 16:00:00,1000.237454722228,104.98330361111584,742.5959791666683
03/04/2016 17:00:00,1012.0749286111095,88.59805305555346,754.4829880555626
03/04/2016 18:00:00,961.9776955555426,78.76432861111243,819.7526383333316
03/04/2016 19:00:00,1001.928976111114,82.77580944444344,819.8027033333346
03/04/2016 20:00:00,1000.0206344444596,82.13588694444479,749.901671944448
03/04/2016 21:00:00,992.3413963888888,77.73417444444203,803.8342924999888
03/04/2016 22:00:00,992.6291886111139,88.01531777778291,864.3125994444417
03/04/2016 23:00:00,948.8904544444522,90.10744416666421,878.6936669444549
03/05/2016 00:00:00,964.186311111087,90.99606805555231,883.0825863888895
03/05/2016 01:00:00,988.6434072222328,93.5616827777776,889.2861977777793
03/05/2016 02:00:00,929.2300513888767,97.64662250000401,832.0389708333241
03/05/2016 03:00:00,951.1947733333509,92.59160361110844,854.8078594444523
03/05/2016 04:00:00,863.9220869444252,101.50676388888678,890.5602272222168
03/05/2016 05:00:00,853.6066500000015,103.37288722222729,894.1348886111082
03/05/2016 06:00:00,869.4941036110977,99.73313777777366,849.3731188888923
03/05/2016 07:00:00,783.2237822222523,90.79765833333659,883.941804166665
03/05/2016 08:00:00,784.2588488888869,80.30899416666944,879.3661816666718
03/05/2016 09:00:00,837.7526974999928,99.31606499999907,876.3626633333333
03/05/2016 10:00:00,888.831355555536,90.47765749999962,875.1228088888893
03/05/2016 11:00:00,919.2448163889057,96.67353777777316,838.6387188888912
03/05/2016 12:00:00,908.2268347222125,104.7242863888896,858.271656111101
03/05/2016 13:00:00,938.9757647222432,102.48212944444822,872.4889980555599
03/05/2016 14:00:00,948.0220727777632,96.47498611111223,827.9752111111156
03/05/2016 15:00:00,983.077650555555,101.42184416665987,846.2114697222132
03/05/2016 16:00:00,954.9339811110985,95.81688805556041,775.3240338888863
03/05/2016 17:00:00,966.8189613888972,93.51446249999572,774.8423213888891
03/05/2016 18:00:00,891.6417552777857,95.25736666667217,786.7182941666688
03/05/2016 19:00:00,886.7587699999858,92.13819249999506,701.0878952777857
03/05/2016 20:00:00,942.3404758333636,85.50727972222376,706.5246744444448
03/05/2016 21:00:00,910.9923163888743,91.84202333333087,749.7373797222244
03/05/2016 22:00:00,904.535121111112,92.81541833333904,798.7239113888791
03/05/2016 23:00:00,941.1015905555396,108.10181222222309,828.2487483333389
