"id","facility_id","customer_name","expected_date","actual_date","total_weight"
2717263,89,"SMITHFIELD FARMLAND SALES CORP","2016-03-03 17:00:00","2016-03-04 20:51:22",48695
2717298,89,"SMITHFIELD FARMLAND SALES CORP","2016-03-03 13:00:00","2016-03-03 15:58:32",45244
2717307,89,"SMITHFIELD FARMLAND SALES CORP","2016-03-01 16:00:00","2016-03-01 18:17:53",18414
2717308,89,"SMITHFIELD FARMLAND SALES CORP","2016-03-01 16:00:00","2016-03-01 17:57:52",15066
2717483,89,"SMITHFIELD FARMLAND SALES CORP","2016-03-02 09:00:00","2016-03-02 11:29:27",54000
2717503,89,"SMITHFIELD FARMLAND SALES CORP","2016-03-04 13:00:00","2016-03-04 16:26:31",41239
2717537,89,"SMITHFIELD FARMLAND SALES CORP","2016-03-04 11:00:00","2016-03-05 00:02:07",53757
2717540,89,"SMITHFIELD FARMLAND SALES CORP","2016-03-01 21:00:00","2016-03-01 23:12:34",36562
2717563,89,"SMITHFIELD FARMLAND SALES CORP","2016-03-01 22:00:00","2016-03-02 00:44:04",36562
2717565,89,"SMITHFIELD FARMLAND SALES CORP","2016-02-29 22:00:00","2016-03-01 00:07:34",36562
2717576,89,"SMITHFIELD FARMLAND SALES CORP","2016-03-01 15:00:00","2016-03-01 17:11:52",26224
2717597,89,"SMITHFIELD FARMLAND SALES CORP","2016-03-01 19:00:00","2016-03-01 21:59:23",36101
2717598,89,"SMITHFIELD FARMLAND SALES CORP","2016-03-04 09:00:00","2016-03-05 03:11:41",53098
2717617,89,"SMITHFIELD FARMLAND SALES CORP","2016-03-01 14:00:00","2016-03-01 14:40:17",36562
2717619,89,"SMITHFIELD FARMLAND SALES CORP","2016-03-03 17:00:00","2016-03-03 18:25:05",52080
2717646,89,"SMITHFIELD FARMLAND SALES CORP","2016-03-01 18:00:00","2016-03-01 19:48:06",36562
2717758,89,"SMITHFIELD FARMLAND SALES CORP","2016-03-03 16:00:00","2016-03-03 17:58:19",40800
2717806,89,"SMITHFIELD FARMLAND SALES CORP","2016-03-01 08:00:00","2016-03-01 09:38:32",36562
2717844,89,"SMITHFIELD FARMLAND SALES CORP","2016-03-01 13:00:00","2016-03-01 14:38:21",26224
2717957,89,"SMITHFIELD FARMLAND SALES CORP","2016-03-02 14:00:00","2016-03-02 14:48:19",36094
2717978,89,"SMITHFIELD FARMLAND SALES CORP","2016-03-03 14:00:00","2016-03-03 15:13:49",37500
2718014,89,"SMITHFIELD FARMLAND SALES CORP","2016-03-02 16:00:00","2016-03-02 16:54:32",36562
2718031,89,"SMITHFIELD FARMLAND SALES CORP","2016-03-01 10:00:00","2016-03-01 09:48:59",1524
2718050,89,"SMITHFIELD FARMLAND SALES CORP","2016-03-03 09:00:00","2016-03-03 11:44:36",39360
2718077,89,"SMITHFIELD FARMLAND SALES CORP","2016-03-01 10:00:00","2016-03-01 11:53:44",17640
