,time,temperature
0,03/01/2016 03:00:00,54.93
1,03/01/2016 04:00:00,53.64
2,03/01/2016 05:00:00,54.55
3,03/01/2016 06:00:00,53.64
4,03/01/2016 07:00:00,53.0
5,03/01/2016 08:00:00,51.45
6,03/01/2016 09:00:00,52.09
7,03/01/2016 10:00:00,49.54
8,03/01/2016 11:00:00,53.53
9,03/01/2016 12:00:00,58.51
10,03/01/2016 13:00:00,63.41
11,03/01/2016 14:00:00,64.08
12,03/01/2016 15:00:00,65.55
13,03/01/2016 16:00:00,66.72
14,03/01/2016 17:00:00,66.72
15,03/01/2016 18:00:00,66.46
16,03/01/2016 19:00:00,66.74
17,03/01/2016 20:00:00,64.29
18,03/01/2016 21:00:00,58.26
19,03/01/2016 22:00:00,57.09
20,03/01/2016 23:00:00,56.28
21,03/02/2016 00:00:00,54.93
22,03/02/2016 01:00:00,53.0
23,03/02/2016 02:00:00,51.36
24,03/02/2016 03:00:00,49.92
25,03/02/2016 04:00:00,49.28
26,03/02/2016 05:00:00,49.28
27,03/02/2016 06:00:00,48.9
28,03/02/2016 07:00:00,48.54
29,03/02/2016 08:00:00,48.54
30,03/02/2016 09:00:00,47.02
31,03/02/2016 10:00:00,47.38
32,03/02/2016 11:00:00,50.57
33,03/02/2016 12:00:00,55.05
34,03/02/2016 13:00:00,60.41
35,03/02/2016 14:00:00,64.41
36,03/02/2016 15:00:00,63.91
37,03/02/2016 16:00:00,61.1
38,03/02/2016 17:00:00,59.26
39,03/02/2016 18:00:00,56.64
40,03/02/2016 19:00:00,56.74
41,03/02/2016 20:00:00,56.91
42,03/02/2016 21:00:00,55.36
43,03/02/2016 22:00:00,54.55
44,03/02/2016 23:00:00,54.93
45,03/03/2016 00:00:00,53.38
46,03/03/2016 01:00:00,54.28
47,03/03/2016 02:00:00,54.28
48,03/03/2016 03:00:00,53.0
49,03/03/2016 04:00:00,53.64
50,03/03/2016 05:00:00,52.64
51,03/03/2016 06:00:00,52.0
52,03/03/2016 07:00:00,52.38
53,03/03/2016 08:00:00,52.64
54,03/03/2016 09:00:00,52.9
55,03/03/2016 10:00:00,52.38
56,03/03/2016 11:00:00,54.83
57,03/03/2016 12:00:00,57.19
58,03/03/2016 13:00:00,59.62
59,03/03/2016 14:00:00,62.7
60,03/03/2016 15:00:00,63.7
61,03/03/2016 16:00:00,65.34
62,03/03/2016 17:00:00,64.17
63,03/03/2016 18:00:00,63.26
64,03/03/2016 19:00:00,62.1
65,03/03/2016 20:00:00,60.45
66,03/03/2016 21:00:00,60.19
67,03/03/2016 22:00:00,58.0
68,03/03/2016 23:00:00,57.74
69,03/04/2016 00:00:00,58.0
70,03/04/2016 01:00:00,57.74
71,03/04/2016 02:00:00,57.74
72,03/04/2016 03:00:00,58.0
73,03/04/2016 04:00:00,58.0
74,03/04/2016 05:00:00,58.0
75,03/04/2016 06:00:00,58.0
76,03/04/2016 07:00:00,58.64
77,03/04/2016 08:00:00,58.64
78,03/04/2016 09:00:00,58.64
79,03/04/2016 10:00:00,58.0
80,03/04/2016 11:00:00,58.64
81,03/04/2016 12:00:00,59.81
82,03/04/2016 13:00:00,60.72
83,03/04/2016 14:00:00,61.62
84,03/04/2016 15:00:00,61.72
85,03/04/2016 16:00:00,62.62
86,03/04/2016 17:00:00,61.6
87,03/04/2016 18:00:00,60.17
88,03/04/2016 19:00:00,59.17
89,03/04/2016 20:00:00,59.17
90,03/04/2016 21:00:00,59.26
91,03/04/2016 22:00:00,59.0
92,03/04/2016 23:00:00,59.38
93,03/05/2016 00:00:00,59.42
94,03/05/2016 01:00:00,59.0
95,03/05/2016 02:00:00,59.64
96,03/05/2016 03:00:00,59.64
97,03/05/2016 04:00:00,59.0
98,03/05/2016 05:00:00,59.0
99,03/05/2016 06:00:00,59.0
100,03/05/2016 07:00:00,59.0
101,03/05/2016 08:00:00,59.0
102,03/05/2016 09:00:00,59.0
103,03/05/2016 10:00:00,59.0
104,03/05/2016 11:00:00,59.36
105,03/05/2016 12:00:00,60.0
106,03/05/2016 13:00:00,61.34
107,03/05/2016 14:00:00,60.43
108,03/05/2016 15:00:00,61.17
109,03/05/2016 16:00:00,63.98
110,03/05/2016 17:00:00,63.51
111,03/05/2016 18:00:00,63.24
112,03/05/2016 19:00:00,59.53
113,03/05/2016 20:00:00,58.91
114,03/05/2016 21:00:00,58.81
115,03/05/2016 22:00:00,58.17
116,03/05/2016 23:00:00,57.09
117,03/06/2016 00:00:00,55.28
118,03/06/2016 01:00:00,53.98
119,03/06/2016 02:00:00,54.19
120,03/06/2016 03:00:00,54.93
121,03/06/2016 04:00:00,54.55
122,03/06/2016 05:00:00,54.9
123,03/06/2016 06:00:00,54.17
124,03/06/2016 07:00:00,52.62
125,03/06/2016 08:00:00,51.07
126,03/06/2016 09:00:00,48.9
127,03/06/2016 10:00:00,49.17
128,03/06/2016 11:00:00,52.15
129,03/06/2016 12:00:00,55.74
130,03/06/2016 13:00:00,57.17
131,03/06/2016 14:00:00,59.07
132,03/06/2016 15:00:00,58.81
133,03/06/2016 16:00:00,59.72
134,03/06/2016 17:00:00,59.07
