,time,temperature
0,03/01/2016 00:00:00,46.49
1,03/01/2016 01:00:00,44.74
2,03/01/2016 02:00:00,44.49
3,03/01/2016 03:00:00,42.49
4,03/01/2016 04:00:00,41.0
5,03/01/2016 05:00:00,39.98
6,03/01/2016 06:00:00,43.35
7,03/01/2016 07:00:00,43.9
8,03/01/2016 08:00:00,51.14
9,03/01/2016 09:00:00,55.46
10,03/01/2016 10:00:00,59.49
11,03/01/2016 11:00:00,60.47
12,03/01/2016 12:00:00,60.05
13,03/01/2016 13:00:00,61.5
14,03/01/2016 14:00:00,61.74
15,03/01/2016 15:00:00,62.8
16,03/01/2016 16:00:00,65.21
17,03/01/2016 17:00:00,66.51
18,03/01/2016 18:00:00,68.0
19,03/01/2016 19:00:00,64.89
20,03/01/2016 20:00:00,63.62
21,03/01/2016 21:00:00,62.81
22,03/01/2016 22:00:00,61.81
23,03/01/2016 23:00:00,60.53
24,03/02/2016 00:00:00,61.09
25,03/02/2016 01:00:00,61.09
26,03/02/2016 02:00:00,60.95
27,03/02/2016 03:00:00,61.2
28,03/02/2016 04:00:00,59.64
29,03/02/2016 05:00:00,55.08
30,03/02/2016 06:00:00,53.14
31,03/02/2016 07:00:00,53.28
32,03/02/2016 08:00:00,52.97
33,03/02/2016 09:00:00,52.69
34,03/02/2016 10:00:00,53.09
35,03/02/2016 11:00:00,50.0
36,03/02/2016 12:00:00,49.43
37,03/02/2016 13:00:00,50.54
38,03/02/2016 14:00:00,50.38
39,03/02/2016 15:00:00,50.1
40,03/02/2016 16:00:00,49.26
41,03/02/2016 17:00:00,47.98
42,03/02/2016 18:00:00,46.0
43,03/02/2016 19:00:00,44.14
44,03/02/2016 20:00:00,43.0
45,03/02/2016 21:00:00,41.28
46,03/02/2016 22:00:00,40.14
47,03/02/2016 23:00:00,38.83
48,03/03/2016 00:00:00,37.41
49,03/03/2016 01:00:00,36.41
50,03/03/2016 02:00:00,35.97
51,03/03/2016 03:00:00,35.83
52,03/03/2016 04:00:00,34.97
53,03/03/2016 05:00:00,34.97
54,03/03/2016 06:00:00,34.83
55,03/03/2016 07:00:00,35.7
56,03/03/2016 08:00:00,37.14
57,03/03/2016 09:00:00,38.56
58,03/03/2016 10:00:00,39.27
59,03/03/2016 11:00:00,38.82
60,03/03/2016 12:00:00,39.09
61,03/03/2016 13:00:00,39.37
62,03/03/2016 14:00:00,39.4
63,03/03/2016 15:00:00,38.0
64,03/03/2016 16:00:00,37.98
65,03/03/2016 17:00:00,37.75
66,03/03/2016 18:00:00,37.59
67,03/03/2016 19:00:00,38.42
68,03/03/2016 20:00:00,38.42
69,03/03/2016 21:00:00,39.75
70,03/03/2016 22:00:00,36.39
71,03/03/2016 23:00:00,34.97
72,03/04/2016 00:00:00,36.39
73,03/04/2016 01:00:00,36.97
74,03/04/2016 02:00:00,37.56
75,03/04/2016 03:00:00,38.0
76,03/04/2016 04:00:00,38.83
77,03/04/2016 05:00:00,39.39
78,03/04/2016 06:00:00,39.39
79,03/04/2016 07:00:00,38.69
80,03/04/2016 08:00:00,38.39
81,03/04/2016 09:00:00,37.69
82,03/04/2016 10:00:00,38.56
83,03/04/2016 11:00:00,38.56
84,03/04/2016 12:00:00,39.98
85,03/04/2016 13:00:00,40.39
86,03/04/2016 14:00:00,40.11
87,03/04/2016 15:00:00,39.72
88,03/04/2016 16:00:00,39.72
89,03/04/2016 17:00:00,39.72
90,03/04/2016 18:00:00,39.86
91,03/04/2016 19:00:00,39.58
92,03/04/2016 20:00:00,39.0
93,03/04/2016 21:00:00,39.17
94,03/04/2016 22:00:00,39.72
95,03/04/2016 23:00:00,40.0
96,03/05/2016 00:00:00,40.0
97,03/05/2016 01:00:00,39.83
98,03/05/2016 02:00:00,39.39
99,03/05/2016 03:00:00,38.83
100,03/05/2016 04:00:00,37.97
101,03/05/2016 05:00:00,38.25
102,03/05/2016 06:00:00,38.11
103,03/05/2016 07:00:00,38.28
