customer_name,time,total_weight
PERDUE FOODS LLC,3/15/16 13:40,59480
PERDUE FOODS LLC,3/15/16 14:08,57992
PERDUE FOODS LLC,3/15/16 14:28,57536
PILGRIM'S PRIDE BROADWAY(IRPS),3/15/16 14:36,60022
PILGRIM'S PRIDE BROADWAY(IRPS),3/15/16 16:31,60022
PILGRIM'S PRIDE BROADWAY(IRPS),3/15/16 17:51,60022
PILGRIM'S PRIDE BROADWAY(IRPS),3/16/16 8:08,60022
PILGRIM'S PRIDE BROADWAY(IRPS),3/16/16 8:27,60022
PERDUE FOODS LLC,3/16/16 9:14,57872
PILGRIM'S PRIDE BROADWAY(IRPS),3/16/16 10:30,60022
PERDUE FOODS LLC,3/16/16 10:53,57872
PILGRIM'S PRIDE BROADWAY(IRPS),3/16/16 11:16,60022
PILGRIM'S PRIDE BROADWAY(IRPS),3/16/16 12:38,60022
PERDUE FOODS LLC,3/16/16 12:41,43487
PILGRIM'S PRIDE BROADWAY(IRPS),3/16/16 13:13,60022
PILGRIM'S PRIDE BROADWAY(IRPS),3/16/16 13:21,60022
PERDUE FOODS LLC,3/16/16 13:47,55113
PERDUE FOODS LLC,3/16/16 14:04,55113
PILGRIM'S PRIDE BROADWAY(IRPS),3/16/16 15:36,0
PILGRIM'S PRIDE BROADWAY(IRPS),3/16/16 15:55,60022
PILGRIM'S PRIDE BROADWAY(IRPS),3/16/16 20:17,60022
PILGRIM'S PRIDE BROADWAY(IRPS),3/17/16 7:55,60022
PILGRIM'S PRIDE BROADWAY(IRPS),3/17/16 8:36,60022
PILGRIM'S PRIDE BROADWAY(IRPS),3/17/16 8:50,60022
PILGRIM'S PRIDE BROADWAY(IRPS),3/17/16 9:49,60022
PILGRIM'S PRIDE BROADWAY(IRPS),3/17/16 9:57,60022
PILGRIM'S PRIDE BROADWAY(IRPS),3/17/16 10:45,60022
PILGRIM'S PRIDE BROADWAY(IRPS),3/17/16 12:41,57542
CARGILL MEAT SOLUTIONS CORP.,3/17/16 13:21,59000
CARGILL MEAT SOLUTIONS CORP.,3/17/16 13:22,59000
PILGRIM'S PRIDE BROADWAY(IRPS),3/17/16 14:06,60022
PILGRIM'S PRIDE BROADWAY(IRPS),3/17/16 14:06,60022
PILGRIM'S PRIDE BROADWAY(IRPS),3/17/16 15:43,60022
CARGILL MEAT SOLUTIONS CORP.,3/17/16 15:49,50000
PILGRIM'S PRIDE BROADWAY(IRPS),3/17/16 16:23,60022
PILGRIM'S PRIDE BROADWAY(IRPS),3/17/16 19:48,60022
PERDUE FOODS LLC,3/18/16 8:07,55113
PERDUE FOODS LLC,3/18/16 8:13,57476
PERDUE FOODS LLC,3/18/16 8:47,55333
PERDUE FOODS LLC,3/18/16 8:57,57476
PERDUE FOODS LLC,3/18/16 10:01,57476
PILGRIM'S PRIDE BROADWAY(IRPS),3/18/16 10:06,60022
CARGILL MEAT SOLUTIONS CORP.,3/18/16 10:40,59000
PILGRIM'S PRIDE BROADWAY(IRPS),3/18/16 10:59,60022
PILGRIM'S PRIDE BROADWAY(IRPS),3/18/16 12:26,60022
PILGRIM'S PRIDE BROADWAY(IRPS),3/18/16 12:36,60022
PILGRIM'S PRIDE BROADWAY(IRPS),3/18/16 13:02,60022
CARGILL MEAT SOLUTIONS CORP.,3/18/16 13:30,59000
PILGRIM'S PRIDE BROADWAY(IRPS),3/21/16 8:26,60022
PILGRIM'S PRIDE BROADWAY(IRPS),3/21/16 8:32,60022
PILGRIM'S PRIDE BROADWAY(IRPS),3/21/16 9:14,60022
PILGRIM'S PRIDE BROADWAY(IRPS),3/21/16 10:16,60022
PILGRIM'S PRIDE BROADWAY(IRPS),3/21/16 10:28,60022
PERDUE FOODS LLC,3/21/16 11:00,57476
"GROVE SERVICES, INC.",3/21/16 11:11,56384
PERDUE FOODS LLC,3/21/16 12:21,55095
LEMAN USA INC.,3/21/16 12:26,44862
PILGRIM'S PRIDE BROADWAY(IRPS),3/21/16 12:50,60022
PILGRIM'S PRIDE BROADWAY(IRPS),3/21/16 13:24,60022
PERDUE FOODS LLC,3/21/16 13:54,58432
PERDUE FOODS LLC,3/21/16 14:16,55095
PERDUE FOODS LLC,3/21/16 14:35,57476
PILGRIM'S PRIDE BROADWAY(IRPS),3/21/16 16:15,60022
PERDUE FOODS LLC,3/21/16 20:04,57872
PILGRIM'S PRIDE BROADWAY(IRPS),3/21/16 21:04,0
PILGRIM'S PRIDE BROADWAY(IRPS),3/21/16 21:36,60022
PILGRIM'S PRIDE BROADWAY(IRPS),3/22/16 7:30,60022
PERDUE FOODS LLC,3/22/16 7:48,57476
PILGRIM'S PRIDE BROADWAY(IRPS),3/22/16 8:47,60051
PERDUE FOODS LLC,3/22/16 9:38,55095
PERDUE FOODS LLC,3/22/16 9:49,59522
PERDUE FOODS LLC,3/22/16 10:25,59522
PERDUE FOODS LLC,3/22/16 10:56,57476
PILGRIM'S PRIDE BROADWAY(IRPS),3/22/16 12:44,60051
PILGRIM'S PRIDE BROADWAY(IRPS),3/22/16 12:45,60022
PILGRIM'S PRIDE BROADWAY(IRPS),3/22/16 13:31,60051
PERDUE FOODS LLC,3/22/16 13:58,58432
PERDUE FOODS LLC,3/22/16 13:58,55095
PILGRIM'S PRIDE BROADWAY(IRPS),3/22/16 14:33,60051
PILGRIM'S PRIDE BROADWAY(IRPS),3/22/16 16:08,60022
PILGRIM'S PRIDE BROADWAY(IRPS),3/22/16 16:54,60022
PILGRIM'S PRIDE BROADWAY(IRPS),3/22/16 19:30,60022
PILGRIM'S PRIDE BROADWAY(IRPS),3/22/16 20:51,60022
PILGRIM'S PRIDE BROADWAY(IRPS),3/23/16 7:56,60022
PILGRIM'S PRIDE BROADWAY(IRPS),3/23/16 8:21,60022
PERDUE FOODS LLC,3/23/16 8:41,57972
PERDUE FOODS LLC,3/23/16 9:04,57972
LA TIENDA,3/23/16 9:31,2720
PILGRIM'S PRIDE BROADWAY(IRPS),3/23/16 10:01,60022
PERDUE FOODS LLC,3/23/16 10:26,57872
PERDUE FOODS LLC,3/23/16 10:51,57972
PILGRIM'S PRIDE BROADWAY(IRPS),3/23/16 10:58,60022
PILGRIM'S PRIDE BROADWAY(IRPS),3/23/16 12:10,60022
PILGRIM'S PRIDE BROADWAY(IRPS),3/23/16 12:48,60022
PILGRIM'S PRIDE BROADWAY(IRPS),3/23/16 13:47,60051
PILGRIM'S PRIDE BROADWAY(IRPS),3/23/16 13:57,60040
PILGRIM'S PRIDE BROADWAY(IRPS),3/23/16 14:25,60051
PILGRIM'S PRIDE BROADWAY(IRPS),3/23/16 14:37,60022
PILGRIM'S PRIDE BROADWAY(IRPS),3/23/16 14:47,60022
PILGRIM'S PRIDE BROADWAY(IRPS),3/23/16 15:46,60022
PILGRIM'S PRIDE BROADWAY(IRPS),3/23/16 16:58,0
PILGRIM'S PRIDE BROADWAY(IRPS),3/23/16 17:29,60022
PILGRIM'S PRIDE BROADWAY(IRPS),3/23/16 20:02,60022
PILGRIM'S PRIDE BROADWAY(IRPS),3/23/16 21:26,60022
PILGRIM'S PRIDE BROADWAY(IRPS),3/24/16 7:39,60022
PILGRIM'S PRIDE BROADWAY(IRPS),3/24/16 8:08,60022
PILGRIM'S PRIDE BROADWAY(IRPS),3/24/16 8:52,60022
PILGRIM'S PRIDE BROADWAY(IRPS),3/24/16 9:00,60022
PILGRIM'S PRIDE BROADWAY(IRPS),3/24/16 10:10,60022
PILGRIM'S PRIDE BROADWAY(IRPS),3/24/16 10:16,60022
PILGRIM'S PRIDE BROADWAY(IRPS),3/24/16 10:52,60022
PERDUE FOODS LLC,3/24/16 11:00,7054
