"id","facility_id","customer_name","expected_date","actual_date","total_weight"
1369950,79,"CARGILL MEAT SOLUTIONS CORP.","2016-03-01 08:14:00","2016-03-01 08:15:00",38800
1369951,79,"LEMAN USA INC.","2016-03-21 08:00:00","2016-03-21 08:00:00",27815
1369954,79,"CARGILL MEAT SOLUTIONS CORP.","2016-03-03 08:00:00","2016-03-03 08:00:00",30680
1369957,79,"CARGILL MEAT SOLUTIONS CORP.","2016-03-10 08:00:00","2016-03-10 08:00:00",28800
1369963,79,"CARGILL MEAT SOLUTIONS CORP.","2016-03-11 08:00:00","2016-03-11 08:00:00",32200
1369968,79,"CARGILL MEAT SOLUTIONS CORP.","2016-03-04 08:00:00","2016-03-04 08:00:00",40000
1369975,79,"CARGILL MEAT SOLUTIONS CORP.","2016-03-16 08:00:00","2016-03-16 08:00:00",40000
1369976,79,"CARGILL MEAT SOLUTIONS CORP.","2016-03-23 08:00:00","2016-03-23 08:00:00",40000
1369977,79,"CARGILL MEAT SOLUTIONS CORP.","2016-03-21 21:47:00","2016-03-21 00:00:00",40040
1369980,79,"CARGILL MEAT SOLUTIONS CORP.","2016-03-29 10:28:00","2016-03-29 10:30:00",40000
1370007,79,"PERDUE FOODS LLC","2016-03-02 10:00:00","2016-03-02 10:05:00",36322
1370008,79,"PERDUE FOODS LLC","2016-03-04 08:00:00","2016-03-04 08:00:00",36982
1370021,79,"PERDUE FOODS LLC","2016-03-01 16:16:00","2016-03-01 00:00:00",37498
1370022,79,"PERDUE FOODS LLC","2016-03-02 13:00:00","2016-03-02 13:00:00",38899
1370024,79,"PERDUE FOODS LLC","2016-03-02 19:32:00","2016-03-02 00:00:00",38030
1370037,79,"PERDUE FOODS LLC","2016-03-03 20:12:00","2016-03-03 00:00:00",36706
1370041,79,"PERDUE FOODS LLC","2016-03-04 15:00:00","2016-03-04 15:00:00",38030
1370047,79,"PERDUE FOODS LLC","2016-03-01 08:34:00","2016-03-01 08:35:00",39626
1370051,79,"PERDUE FOODS LLC","2016-03-02 19:38:00","2016-03-02 00:00:00",38030
1370053,79,"PERDUE FOODS LLC","2016-03-01 14:00:00","2016-03-01 14:00:00",26498
1370063,79,"EXPORTECH, INC.","2016-03-03 09:00:00","2016-03-03 09:00:00",17700
1370065,79,"PERDUE FOODS LLC","2016-03-03 09:00:00","2016-03-03 09:00:00",23050
1370067,79,"PERDUE FOODS LLC","2016-03-05 08:00:00","2016-03-05 08:00:00",38069
1370068,79,"PERDUE FOODS LLC","2016-03-03 14:00:00","2016-03-03 14:00:00",26007
1370071,79,"PERDUE FOODS LLC","2016-03-05 12:00:00","2016-03-05 12:00:00",39680
1370072,79,"PERDUE FOODS LLC","2016-03-03 09:00:00","2016-03-03 09:00:00",40607
1370076,79,"PERDUE FOODS LLC","2016-03-02 20:01:00","2016-03-02 00:00:00",29106
1370079,79,"EXPORTECH, INC.","2016-03-02 13:00:00","2016-03-02 13:00:00",35400
1370080,79,"PERDUE FOODS LLC","2016-03-04 15:00:00","2016-03-04 15:00:00",32009
1370081,79,"PERDUE FOODS LLC","2016-03-04 17:50:00","2016-03-04 00:00:00",31752
1370083,79,"PERDUE FOODS LLC","2016-03-02 12:00:00","2016-03-02 12:00:00",25968
1370086,79,"PERDUE FOODS LLC","2016-03-05 10:00:00","2016-03-05 10:00:00",18522
1370087,79,"PERDUE FOODS LLC","2016-03-02 09:00:00","2016-03-02 09:00:00",40034
1370088,79,"PERDUE FOODS LLC","2016-03-03 17:20:00","2016-03-03 00:00:00",22491
1370089,79,"PERDUE FOODS LLC","2016-03-03 19:56:00","2016-03-03 00:00:00",29084
1370091,79,"PERDUE FOODS LLC","2016-03-03 14:51:00","2016-03-03 00:00:00",32219
1370095,79,"PERDUE FOODS LLC","2016-03-03 19:40:00","2016-03-03 00:00:00",39480
1370097,79,"PERDUE FOODS LLC","2016-03-03 09:00:00","2016-03-03 09:00:00",37968
1370098,79,"PERDUE FOODS LLC","2016-03-05 09:00:00","2016-03-05 09:00:00",14176
1370102,79,"PERDUE FOODS LLC","2016-03-05 09:00:00","2016-03-05 09:00:00",33335
1370103,79,"PERDUE FOODS LLC","2016-03-11 15:19:00","2016-03-11 00:00:00",35715
1370105,79,"PERDUE FOODS LLC","2016-03-09 11:37:00","2016-03-09 11:38:00",37228
1370107,79,"PERDUE FOODS LLC","2016-03-07 08:49:00","2016-03-07 08:49:00",37038
1370108,79,"PERDUE FOODS LLC","2016-03-09 13:00:00","2016-03-09 13:00:00",38823
